,subsessionid,season_name,eventstrengthoffield,ccName,oldirating,newirating,carnum,carid,lapscomplete,finishposinclass,lapslead,displayName,startPos,points,numIncidents,finishPos,groupid,lapnum,custid,sesTime,flags,lap_time
75,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,5087,5115,1,132,20,3,0,Matias+M%C3%A4ki-Hoimela,10,167,5,3,519716,12,519716,17894573,0,1197804.0
76,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,5087,5115,1,132,20,3,0,Matias+M%C3%A4ki-Hoimela,10,167,5,3,519716,13,519716,19095417,4,1200844.0
77,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,5087,5115,1,132,20,3,0,Matias+M%C3%A4ki-Hoimela,10,167,5,3,519716,14,519716,20358296,0,1262879.0
78,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,5087,5115,1,132,20,3,0,Matias+M%C3%A4ki-Hoimela,10,167,5,3,519716,15,519716,21814923,2,1456627.0
79,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,5087,5115,1,132,20,3,0,Matias+M%C3%A4ki-Hoimela,10,167,5,3,519716,16,519716,23014799,0,1199876.0
80,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,5087,5115,1,132,20,3,0,Matias+M%C3%A4ki-Hoimela,10,167,5,3,519716,17,519716,24214456,0,1199657.0
81,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,5087,5115,1,132,20,3,0,Matias+M%C3%A4ki-Hoimela,10,167,5,3,519716,18,519716,25414455,0,1199999.0
82,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,5087,5115,1,132,20,3,0,Matias+M%C3%A4ki-Hoimela,10,167,5,3,519716,19,519716,26613656,0,1199201.0
83,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,5087,5115,1,132,20,3,0,Matias+M%C3%A4ki-Hoimela,10,167,5,3,519716,20,519716,27810994,16384,1197338.0
84,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,3093,3160,13,133,20,4,0,Toni+Sulosalmi,6,159,11,4,42248,0,42248,3449393,0,0.0
85,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,3093,3160,13,133,20,4,0,Toni+Sulosalmi,6,159,11,4,42248,1,42248,4721186,8256,1271793.0
86,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,3093,3160,13,133,20,4,0,Toni+Sulosalmi,6,159,11,4,42248,2,42248,5917115,0,1195929.0
87,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,3093,3160,13,133,20,4,0,Toni+Sulosalmi,6,159,11,4,42248,3,42248,7113578,0,1196463.0
88,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,3093,3160,13,133,20,4,0,Toni+Sulosalmi,6,159,11,4,42248,4,42248,8308646,0,1195068.0
89,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,3093,3160,13,133,20,4,0,Toni+Sulosalmi,6,159,11,4,42248,5,42248,9503974,0,1195328.0
90,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,3093,3160,13,133,20,4,0,Toni+Sulosalmi,6,159,11,4,42248,6,42248,10700054,0,1196080.0
91,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,3093,3160,13,133,20,4,0,Toni+Sulosalmi,6,159,11,4,42248,7,42248,11919905,0,1219851.0
92,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,3093,3160,13,133,20,4,0,Toni+Sulosalmi,6,159,11,4,42248,8,42248,13118138,0,1198233.0
93,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,3093,3160,13,133,20,4,0,Toni+Sulosalmi,6,159,11,4,42248,9,42248,14316822,4,1198684.0
94,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,3093,3160,13,133,20,4,0,Toni+Sulosalmi,6,159,11,4,42248,10,42248,15515527,0,1198705.0
95,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,3093,3160,13,133,20,4,0,Toni+Sulosalmi,6,159,11,4,42248,11,42248,16715992,0,1200465.0
96,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,3093,3160,13,133,20,4,0,Toni+Sulosalmi,6,159,11,4,42248,12,42248,17913758,0,1197766.0
97,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,3093,3160,13,133,20,4,0,Toni+Sulosalmi,6,159,11,4,42248,13,42248,19185066,0,1271308.0
98,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,3093,3160,13,133,20,4,0,Toni+Sulosalmi,6,159,11,4,42248,14,42248,20658235,2,1473169.0
99,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,3093,3160,13,133,20,4,0,Toni+Sulosalmi,6,159,11,4,42248,15,42248,21865499,64,1207264.0
100,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,3093,3160,13,133,20,4,0,Toni+Sulosalmi,6,159,11,4,42248,16,42248,23068142,0,1202643.0
101,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,3093,3160,13,133,20,4,0,Toni+Sulosalmi,6,159,11,4,42248,17,42248,24268713,0,1200571.0
102,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,3093,3160,13,133,20,4,0,Toni+Sulosalmi,6,159,11,4,42248,18,42248,25469490,256,1200777.0
103,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,3093,3160,13,133,20,4,0,Toni+Sulosalmi,6,159,11,4,42248,19,42248,26672583,4,1203093.0
104,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,3093,3160,13,133,20,4,0,Toni+Sulosalmi,6,159,11,4,42248,20,42248,27874863,16388,1202280.0
105,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4550,4572,3,133,20,5,0,Tommy+Vandergucht,7,151,6,5,140714,0,140714,3449403,0,0.0
106,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4550,4572,3,133,20,5,0,Tommy+Vandergucht,7,151,6,5,140714,1,140714,4723864,8192,1274461.0
107,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4550,4572,3,133,20,5,0,Tommy+Vandergucht,7,151,6,5,140714,2,140714,5921295,0,1197431.0
108,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4550,4572,3,133,20,5,0,Tommy+Vandergucht,7,151,6,5,140714,3,140714,7120707,0,1199412.0
109,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4550,4572,3,133,20,5,0,Tommy+Vandergucht,7,151,6,5,140714,4,140714,8319131,0,1198424.0
110,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4550,4572,3,133,20,5,0,Tommy+Vandergucht,7,151,6,5,140714,5,140714,9518747,0,1199616.0
111,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4550,4572,3,133,20,5,0,Tommy+Vandergucht,7,151,6,5,140714,6,140714,10718717,0,1199970.0
112,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4550,4572,3,133,20,5,0,Tommy+Vandergucht,7,151,6,5,140714,7,140714,11920916,0,1202199.0
113,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4550,4572,3,133,20,5,0,Tommy+Vandergucht,7,151,6,5,140714,8,140714,13122281,0,1201365.0
114,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4550,4572,3,133,20,5,0,Tommy+Vandergucht,7,151,6,5,140714,9,140714,14319717,4,1197436.0
115,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4550,4572,3,133,20,5,0,Tommy+Vandergucht,7,151,6,5,140714,10,140714,15518715,0,1198998.0
116,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4550,4572,3,133,20,5,0,Tommy+Vandergucht,7,151,6,5,140714,11,140714,16718560,0,1199845.0
117,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4550,4572,3,133,20,5,0,Tommy+Vandergucht,7,151,6,5,140714,12,140714,17985014,0,1266454.0
118,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4550,4572,3,133,20,5,0,Tommy+Vandergucht,7,151,6,5,140714,13,140714,19441830,2,1456816.0
119,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4550,4572,3,133,20,5,0,Tommy+Vandergucht,7,151,6,5,140714,14,140714,20644344,0,1202514.0
120,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4550,4572,3,133,20,5,0,Tommy+Vandergucht,7,151,6,5,140714,15,140714,21925909,192,1281565.0
121,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4550,4572,3,133,20,5,0,Tommy+Vandergucht,7,151,6,5,140714,16,140714,23134072,0,1208163.0
122,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4550,4572,3,133,20,5,0,Tommy+Vandergucht,7,151,6,5,140714,17,140714,24335857,0,1201785.0
123,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4550,4572,3,133,20,5,0,Tommy+Vandergucht,7,151,6,5,140714,18,140714,25538877,0,1203020.0
124,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4550,4572,3,133,20,5,0,Tommy+Vandergucht,7,151,6,5,140714,19,140714,26741182,4,1202305.0
125,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4550,4572,3,133,20,5,0,Tommy+Vandergucht,7,151,6,5,140714,20,140714,27946263,16384,1205081.0
126,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,2757,2817,16,133,20,6,0,Martin+Abraham,8,143,1,6,384650,0,384650,3449413,0,0.0
127,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,2757,2817,16,133,20,6,0,Martin+Abraham,8,143,1,6,384650,1,384650,4728114,8192,1278701.0
128,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,2757,2817,16,133,20,6,0,Martin+Abraham,8,143,1,6,384650,2,384650,5930464,4,1202350.0
129,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,2757,2817,16,133,20,6,0,Martin+Abraham,8,143,1,6,384650,3,384650,7129132,0,1198668.0
130,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,2757,2817,16,133,20,6,0,Martin+Abraham,8,143,1,6,384650,4,384650,8331108,0,1201976.0
131,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,2757,2817,16,133,20,6,0,Martin+Abraham,8,143,1,6,384650,5,384650,9535239,0,1204131.0
132,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,2757,2817,16,133,20,6,0,Martin+Abraham,8,143,1,6,384650,6,384650,10737276,0,1202037.0
133,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,2757,2817,16,133,20,6,0,Martin+Abraham,8,143,1,6,384650,7,384650,11941167,0,1203891.0
134,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,2757,2817,16,133,20,6,0,Martin+Abraham,8,143,1,6,384650,8,384650,13143178,0,1202011.0
135,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,2757,2817,16,133,20,6,0,Martin+Abraham,8,143,1,6,384650,9,384650,14346669,0,1203491.0
136,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,2757,2817,16,133,20,6,0,Martin+Abraham,8,143,1,6,384650,10,384650,15551320,0,1204651.0
137,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,2757,2817,16,133,20,6,0,Martin+Abraham,8,143,1,6,384650,11,384650,16755361,0,1204041.0
138,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,2757,2817,16,133,20,6,0,Martin+Abraham,8,143,1,6,384650,12,384650,17958726,0,1203365.0
139,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,2757,2817,16,133,20,6,0,Martin+Abraham,8,143,1,6,384650,13,384650,19231266,0,1272540.0
140,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,2757,2817,16,133,20,6,0,Martin+Abraham,8,143,1,6,384650,14,384650,20713357,2,1482091.0
